code,theme,name,price,rating,pieces,vip_points,URL,scraped_on
31140,Creator 3-in-1,Magical Unicorn,9.99,4.8,145.0,65,https://www.lego.com/en-us/product/magical-unicorn-31140,2023-04-23
31143,Creator 3-in-1,Birdhouse,29.99,4.8,476.0,195,https://www.lego.com/en-us/product/birdhouse-31143,2023-04-23
31203,Art,World Map,249.99,4.4,11695.0,1625,https://www.lego.com/en-us/product/world-map-31203,2023-04-23
31205,Art,Jim Lee Batman™ Collection,119.99,4.8,4167.0,780,https://www.lego.com/en-us/product/jim-lee-batman-collection-31205,2023-04-23
31206,Art,The Rolling Stones,149.99,3.5,1998.0,975,https://www.lego.com/en-us/product/the-rolling-stones-31206,2023-04-23
31207,Art,Floral Art,79.99,4.4,2870.0,520,https://www.lego.com/en-us/product/floral-art-31207,2023-04-23
31208,Art,Hokusai – The Great Wave,99.99,4.7,1810.0,650,https://www.lego.com/en-us/product/hokusai--the-great-wave-31208,2023-04-23
40220,Creator Expert,LEGO® London Bus,9.99,4.8,118.0,65,https://www.lego.com/en-us/product/london-bus-40220,2023-04-23
40269,DUPLO®,DUPLO Photo Frame,5.99,5.0,9.0,31,https://www.lego.com/en-us/product/duplo-photo-frame-40269,2023-04-23
40348,BrickHeadz,Birthday Clown,9.99,4.5,150.0,52,https://www.lego.com/en-us/product/birthday-clown-40348,2023-04-23
40367,BrickHeadz,Lady Liberty,9.99,,153.0,65,https://www.lego.com/en-us/product/lady-liberty-40367,2023-04-23
40377,BrickHeadz,Donald Duck,9.99,4.9,90.0,65,https://www.lego.com/en-us/product/donald-duck-40377,2023-04-23
40378,BrickHeadz,Goofy & Pluto,14.99,4.8,214.0,97,https://www.lego.com/en-us/product/goofy--pluto-40378,2023-04-23
40383,BrickHeadz,Wedding Bride,12.99,4.4,306.0,59,https://www.lego.com/en-us/product/wedding-bride-40383,2023-04-23
40384,BrickHeadz,Wedding Groom,12.99,4.6,255.0,59,https://www.lego.com/en-us/product/wedding-groom-40384,2023-04-23
40420,BrickHeadz,"Gru, Stuart and Otto",19.99,,244.0,104,https://www.lego.com/en-us/product/tbd-conf-bh-ip-2-and-buddies-1-40420,2023-04-23
